symbol,series,method,rank,period_ticks,frequency,power
COMP_4,abs_returns,acf_peaks,4,1180.0,0.000847457627118644,0.02756767372971149
COMP_4,abs_returns,acf_peaks,5,494.0,0.0020242914979757085,0.027481950756481185
COMP_5,returns,periodogram,1,5.3724239450441615,0.18613572015709196,0.00030805272028039334
COMP_5,returns,periodogram,2,5.154896421845574,0.19399031875057082,0.00027875307163862637
COMP_5,returns,periodogram,3,6.540621266427718,0.1528906749474838,0.00027677081310540193
COMP_5,returns,periodogram,4,5.449975111996018,0.18348707644533746,0.00027639020192211456
COMP_5,returns,periodogram,5,5.99288451012589,0.16686455384053336,0.0002743011526091459
COMP_5,abs_returns,periodogram,1,24.827664399092974,0.040277650927025295,0.00038764018488999147
COMP_5,abs_returns,periodogram,2,41.161654135338345,0.02429445611471367,0.0003470933618774199
COMP_5,abs_returns,periodogram,3,27.789340101522843,0.03598502146314732,0.0003429562656372704
COMP_5,abs_returns,periodogram,4,6.343568945538819,0.15763996712028494,0.0003255905574387856
COMP_5,abs_returns,periodogram,5,70.63870967741936,0.014156543976618868,0.00032038618632431793
COMP_5,returns,acf_peaks,1,563.0,0.0017761989342806395,0.035272956077368495
COMP_5,returns,acf_peaks,2,255.0,0.00392156862745098,0.034080210202582395
COMP_5,returns,acf_peaks,3,1597.0,0.0006261740763932373,0.0327235495218632
COMP_5,returns,acf_peaks,4,648.0,0.0015432098765432098,0.03098745620634129
COMP_5,returns,acf_peaks,5,1103.0,0.0009066183136899365,0.030327186929332086
COMP_5,abs_returns,acf_peaks,1,1930.0,0.0005181347150259067,0.03251313750976749
COMP_5,abs_returns,acf_peaks,2,1483.0,0.0006743088334457181,0.03214828617646616
COMP_5,abs_returns,acf_peaks,3,539.0,0.0018552875695732839,0.03182665401310597
COMP_5,abs_returns,acf_peaks,4,1314.0,0.00076103500761035,0.02861863516204293
COMP_5,abs_returns,acf_peaks,5,1445.0,0.0006920415224913495,0.028048763676037813
COMP_6,returns,periodogram,1,6.536716417910448,0.15298200748926843,6.474238974245692e-05
COMP_6,returns,periodogram,2,5.05493998153278,0.1978262855055256,6.069328890978071e-05
COMP_6,returns,periodogram,3,5.097299813780261,0.19618229975340212,5.8348119349081566e-05
COMP_6,returns,periodogram,4,5.4229816740960874,0.18440040186318385,5.623365163774933e-05
COMP_6,returns,periodogram,5,5.449975111996018,0.18348707644533746,5.49020881405239e-05
COMP_6,abs_returns,periodogram,1,15.686246418338108,0.06375011416567723,6.592201782837672e-05
COMP_6,abs_returns,periodogram,2,6.13389355742297,0.16302858708557857,6.373846993593426e-05
COMP_6,abs_returns,periodogram,3,6.591812161348585,0.1517033519042835,6.055996505949032e-05
COMP_6,abs_returns,periodogram,4,6.696636085626912,0.1493287058178829,5.8613400000847646e-05
COMP_6,abs_returns,periodogram,5,27.372500000000002,0.03653301671385514,5.8285798197769845e-05
COMP_6,returns,acf_peaks,1,568.0,0.0017605633802816902,0.038059522658681656
COMP_6,returns,acf_peaks,2,397.0,0.0025188916876574307,0.037115377562455955
COMP_6,returns,acf_peaks,3,261.0,0.0038314176245210726,0.03577172766770928
COMP_6,returns,acf_peaks,4,1928.0,0.0005186721991701245,0.034692924387152727
COMP_6,returns,acf_peaks,5,1414.0,0.0007072135785007072,0.03389790135997682
COMP_6,abs_returns,acf_peaks,1,356.0,0.0028089887640449437,0.03263707827285023
COMP_6,abs_returns,acf_peaks,2,1799.0,0.0005558643690939411,0.02815872899903267
COMP_6,abs_returns,acf_peaks,3,1017.0,0.0009832841691248771,0.027286416699802887
COMP_6,abs_returns,acf_peaks,4,517.0,0.0019342359767891683,0.026997575993889675
COMP_6,abs_returns,acf_peaks,5,644.0,0.0015527950310559005,0.026907761830488524
